#                         Results of problem 3: Time performance multiplication of nxm and mxl
#      n      m      l               matmul                  loop (order 1)                  loop (order 2)
         100         100         100   1.1169999999999999E-003   6.8409999999999999E-003   6.1559999999999983E-003
         100         200         100   9.4600000000000239E-004   1.2833000000000001E-002   1.3915999999999998E-002
         100         300         100   7.8999999999999904E-004   1.5772000000000001E-002   2.4830999999999992E-002
         100         400         100   1.0320000000000051E-003   2.3095999999999992E-002   2.1362999999999993E-002
         100         500         100   1.2899999999999856E-003   2.7162999999999993E-002   2.7666999999999997E-002
         100         600         100   1.3340000000000019E-003   3.4023999999999999E-002   3.3721000000000001E-002
         100         700         100   1.4710000000000001E-003   4.3646999999999991E-002   3.9503000000000010E-002
         100         800         100   1.6750000000000376E-003   4.7125000000000028E-002   4.5688999999999980E-002
         100         900         100   1.8760000000000443E-003   5.1914999999999989E-002   5.0692999999999988E-002
         100        1000         100   1.8569999999999975E-003   5.9849999999999959E-002   5.7189000000000045E-002
