#                         Results of problem 3: Time performance multiplication of nxm and mxl
#      n      m      l               matmul                  loop (order 1)                  loop (order 2)
         100         100         100   4.5900000000000021E-004   8.1399999999999962E-004   9.4699999999999993E-004
         100         200         100   5.6699999999999980E-004   1.4389999999999993E-003   1.5579999999999986E-003
         100         300         100   8.0299999999999989E-004   2.2939999999999992E-003   2.1529999999999987E-003
         100         400         100   9.8300000000000123E-004   3.7720000000000010E-003   3.5560000000000001E-003
         100         500         100   1.1439999999999992E-003   7.3160000000000031E-003   8.1089999999999982E-003
         100         600         100   1.2020000000000017E-003   7.6890000000000014E-003   7.6980000000000035E-003
         100         700         100   1.3379999999999920E-003   8.6890000000000023E-003   8.6340000000000028E-003
         100         800         100   1.7370000000000024E-003   1.0074000000000000E-002   1.0205999999999993E-002
         100         900         100   1.8760000000000027E-003   1.0897000000000004E-002   1.1114999999999986E-002
         100        1000         100   1.7549999999999788E-003   1.2433000000000000E-002   1.2300000000000005E-002
